unix,date,symbol,open,high,low,close,Volume EOS,Volume USD
1597536000,2020-08-16 00:00:00,EOS/USD,3.719,3.949,3.501,3.882,12910726.9,3418758.7
1597449600,2020-08-15 00:00:00,EOS/USD,3.267,3.856,3.265,3.719,14506817.36,4070494.0
1597363200,2020-08-14 00:00:00,EOS/USD,3.139,3.295,3.089,3.267,4581759.83,1433309.9
1597276800,2020-08-13 00:00:00,EOS/USD,3.026,3.149,2.92,3.139,3836159.76,1256035.0
1597190400,2020-08-12 00:00:00,EOS/USD,3.005,3.052,2.889,3.026,2514558.65,835887.4
1597104000,2020-08-11 00:00:00,EOS/USD,3.243,3.3,2.851,3.005,4639422.72,1494046.6
1597017600,2020-08-10 00:00:00,EOS/USD,3.033,3.301,3.004,3.243,5781597.05,1815379.3
1596931200,2020-08-09 00:00:00,EOS/USD,3.067,3.086,2.933,3.033,1901418.69,628905.1
1596844800,2020-08-08 00:00:00,EOS/USD,3.012,3.094,2.978,3.067,1246722.32,410654.7
1596758400,2020-08-07 00:00:00,EOS/USD,3.09,3.249,2.767,3.012,4063399.63,1342497.7
1596672000,2020-08-06 00:00:00,EOS/USD,3.058,3.182,3.004,3.09,2551341.95,827806.2
1596585600,2020-08-05 00:00:00,EOS/USD,3.037,3.102,3.002,3.058,1533273.31,502205.5
1596499200,2020-08-04 00:00:00,EOS/USD,3.049,3.106,2.961,3.037,2054273.48,676336.1
1596412800,2020-08-03 00:00:00,EOS/USD,2.946,3.128,2.904,3.049,2844048.45,936087.2
1596326400,2020-08-02 00:00:00,EOS/USD,3.309,3.5,2.62,2.946,5285058.43,1739228.5
1596240000,2020-08-01 00:00:00,EOS/USD,3.097,3.33,3.075,3.309,3316396.54,1031572.6
1596153600,2020-07-31 00:00:00,EOS/USD,3.051,3.147,3.014,3.097,1548387.94,503231.4
1596067200,2020-07-30 00:00:00,EOS/USD,3.025,3.105,2.958,3.051,1610524.99,534778.0
1595980800,2020-07-29 00:00:00,EOS/USD,3.001,3.149,2.958,3.025,2893954.48,943681.8
