unix,date,symbol,open,high,low,close,Volume LIN,Volume USD
1597017600,2020-08-10 00:00:00,LINK/USD,13.83,14.1,12.6,13.49,90370429.51,6755853.97
1596931200,2020-08-09 00:00:00,LINK/USD,12.73,14.49,12.01,13.83,120879099.81,8982507.94
1596844800,2020-08-08 00:00:00,LINK/USD,10.15,13.66,9.939,12.73,117870243.02,9977324.64
1596758400,2020-08-07 00:00:00,LINK/USD,10.24,10.3,9.162,10.15,48287899.67,4897766.74
1596672000,2020-08-06 00:00:00,LINK/USD,9.533,10.3,9.45,10.24,35853786.8,3668631.79
1596585600,2020-08-05 00:00:00,LINK/USD,9.859,9.877,9.321,9.533,36867162.02,3849117.17
1596499200,2020-08-04 00:00:00,LINK/USD,9.275,9.976,9.1,9.859,61682740.94,6496847.78
1596412800,2020-08-03 00:00:00,LINK/USD,8.286,9.29,8.122,9.275,43274910.18,4993826.98
1596326400,2020-08-02 00:00:00,LINK/USD,8.322,8.78,6.934,8.286,61323836.93,7436280.51
1596240000,2020-08-01 00:00:00,LINK/USD,7.81,8.47,7.651,8.322,31840782.36,3985012.89
1596153600,2020-07-31 00:00:00,LINK/USD,7.425,7.89,7.417,7.81,25828405.82,3357148.18
1596067200,2020-07-30 00:00:00,LINK/USD,7.1,7.634,7.035,7.425,21586445.84,2931614.96
1595980800,2020-07-29 00:00:00,LINK/USD,7.25,7.5,7.0,7.1,22319458.14,3087105.0
1595894400,2020-07-28 00:00:00,LINK/USD,7.118,7.418,6.92,7.25,25178795.75,3513124.92
1595808000,2020-07-27 00:00:00,LINK/USD,7.508,7.515,6.52,7.118,61960700.88,8831200.71
1595721600,2020-07-26 00:00:00,LINK/USD,7.677,7.95,7.31,7.508,23496565.45,3107347.03
1595635200,2020-07-25 00:00:00,LINK/USD,7.445,7.809,7.39,7.677,12586392.88,1645537.15
1595548800,2020-07-24 00:00:00,LINK/USD,7.913,7.94,7.39,7.445,16440664.43,2157558.6
1595462400,2020-07-23 00:00:00,LINK/USD,7.485,8.1,7.411,7.913,33910937.74,4328967.08
1595376000,2020-07-22 00:00:00,LINK/USD,7.326,7.65,7.095,7.485,26355036.78,3554503.98
1595289600,2020-07-21 00:00:00,LINK/USD,7.239,7.682,6.99,7.326,38830111.62,5316660.24
1595203200,2020-07-20 00:00:00,LINK/USD,8.087,8.138,7.139,7.239,38949052.56,5151228.56
1595116800,2020-07-19 00:00:00,LINK/USD,7.971,8.21,7.78,8.087,20786938.37,2608256.96
1595030400,2020-07-18 00:00:00,LINK/USD,8.26,8.26,7.621,7.971,42004301.65,5274607.49
1594944000,2020-07-17 00:00:00,LINK/USD,8.34,8.65,8.199,8.26,31170606.29,3725319.4
1594857600,2020-07-16 00:00:00,LINK/USD,8.637,8.87,7.95,8.34,69894421.52,8319348.85
1594771200,2020-07-15 00:00:00,LINK/USD,8.142,8.9,7.842,8.637,80494907.86,9558274.97
1594684800,2020-07-14 00:00:00,LINK/USD,7.163,8.47,7.0,8.142,78382090.1,10067251.66
