unix,date,symbol,open,high,low,close,Volume ETC,Volume USD
1595376000,2020-07-22 00:00:00,ETC/USD,6.189,6.4,6.05,6.362,1690635.29,272811.06
1595289600,2020-07-21 00:00:00,ETC/USD,6.029,6.194,6.018,6.189,647253.49,105511.71
1595203200,2020-07-20 00:00:00,ETC/USD,6.092,6.189,5.995,6.029,793647.02,130071.44
1595116800,2020-07-19 00:00:00,ETC/USD,6.053,6.123,5.95,6.092,781230.83,129274.6
1595030400,2020-07-18 00:00:00,ETC/USD,6.028,6.116,5.945,6.053,795890.98,132033.57
1594944000,2020-07-17 00:00:00,ETC/USD,6.025,6.114,5.965,6.028,1166667.26,192771.47
1594857600,2020-07-16 00:00:00,ETC/USD,6.215,6.26,5.9,6.025,1591602.56,262703.38
1594771200,2020-07-15 00:00:00,ETC/USD,6.331,6.365,6.18,6.215,997315.41,159742.4
1594684800,2020-07-14 00:00:00,ETC/USD,6.304,6.334,6.169,6.331,942447.12,150628.06
1594598400,2020-07-13 00:00:00,ETC/USD,6.462,6.558,6.171,6.304,1672441.48,261852.24
1594512000,2020-07-12 00:00:00,ETC/USD,6.503,6.56,6.352,6.462,1093229.19,169576.14
1594425600,2020-07-11 00:00:00,ETC/USD,6.382,6.6,6.38,6.503,967995.87,149329.27
1594339200,2020-07-10 00:00:00,ETC/USD,6.65,6.65,6.249,6.382,1362538.06,212808.81
1594252800,2020-07-09 00:00:00,ETC/USD,6.638,6.797,6.387,6.65,3396384.32,514947.49
1594166400,2020-07-08 00:00:00,ETC/USD,6.22,6.65,6.119,6.638,2779882.71,432943.29
1594080000,2020-07-07 00:00:00,ETC/USD,6.107,6.326,5.978,6.22,2775438.1,452062.59
1593993600,2020-07-06 00:00:00,ETC/USD,5.652,6.189,5.649,6.107,1998091.15,336701.39
1593907200,2020-07-05 00:00:00,ETC/USD,5.698,5.719,5.514,5.652,691925.77,123129.21
1593820800,2020-07-04 00:00:00,ETC/USD,5.647,5.748,5.619,5.698,506832.16,89251.48
1593734400,2020-07-03 00:00:00,ETC/USD,5.638,5.727,5.599,5.647,778593.94,137290.01
1593648000,2020-07-02 00:00:00,ETC/USD,5.719,5.792,5.545,5.638,861988.68,151984.32
1593561600,2020-07-01 00:00:00,ETC/USD,5.727,5.788,5.623,5.719,567513.39,99278.74
1593475200,2020-06-30 00:00:00,ETC/USD,5.826,5.849,5.677,5.727,539216.75,93786.07
1593388800,2020-06-29 00:00:00,ETC/USD,5.748,5.884,5.719,5.826,939629.18,161991.09
1593302400,2020-06-28 00:00:00,ETC/USD,5.593,5.83,5.55,5.748,849365.63,148869.72
1593216000,2020-06-27 00:00:00,ETC/USD,6.035,6.058,5.284,5.593,2776223.61,486241.1
1593129600,2020-06-26 00:00:00,ETC/USD,6.148,6.167,5.98,6.035,949438.51,156824.96
1593043200,2020-06-25 00:00:00,ETC/USD,6.212,6.238,6.038,6.148,651028.4,105985.84
1592956800,2020-06-24 00:00:00,ETC/USD,6.365,6.514,6.12,6.212,1164326.78,185059.82
1592870400,2020-06-23 00:00:00,ETC/USD,6.376,6.437,6.279,6.365,851167.85,133602.13
1592784000,2020-06-22 00:00:00,ETC/USD,6.203,6.398,6.194,6.376,695786.13,109916.82
1592697600,2020-06-21 00:00:00,ETC/USD,6.253,6.279,6.174,6.203,379142.99,60967.56
1592611200,2020-06-20 00:00:00,ETC/USD,6.327,6.357,6.153,6.253,679985.51,108585.04
1592524800,2020-06-19 00:00:00,ETC/USD,6.212,6.413,6.138,6.327,1752324.98,278168.32
1592438400,2020-06-18 00:00:00,ETC/USD,6.281,6.287,6.09,6.212,677147.8,109340.12
1592352000,2020-06-17 00:00:00,ETC/USD,6.253,6.366,6.137,6.281,876666.62,140127.59
1592265600,2020-06-16 00:00:00,ETC/USD,6.257,6.314,6.18,6.253,1320710.1,211642.79
1592179200,2020-06-15 00:00:00,ETC/USD,6.313,6.349,5.971,6.257,1861279.12,302058.28
1592092800,2020-06-14 00:00:00,ETC/USD,6.485,6.493,6.251,6.313,705728.12,110666.02
1592006400,2020-06-13 00:00:00,ETC/USD,6.395,6.506,6.333,6.485,779941.96,121452.55
1591920000,2020-06-12 00:00:00,ETC/USD,6.258,6.5,6.209,6.395,1043055.89,163422.42
1591833600,2020-06-11 00:00:00,ETC/USD,6.812,6.848,6.041,6.258,3713353.22,576446.61
1591747200,2020-06-10 00:00:00,ETC/USD,6.79,6.848,6.713,6.812,1483152.16,218934.06
1591660800,2020-06-09 00:00:00,ETC/USD,6.903,6.929,6.728,6.79,943327.51,138735.66
1591574400,2020-06-08 00:00:00,ETC/USD,6.833,6.926,6.738,6.903,1060059.88,155292.18
1591488000,2020-06-07 00:00:00,ETC/USD,6.868,6.883,6.621,6.833,1007202.07,148852.11
1591401600,2020-06-06 00:00:00,ETC/USD,6.832,6.909,6.782,6.868,641310.68,93650.18
1591315200,2020-06-05 00:00:00,ETC/USD,6.907,6.986,6.78,6.832,1399981.33,203724.36
1591228800,2020-06-04 00:00:00,ETC/USD,6.942,7.048,6.8,6.907,1947251.44,280798.83
1591142400,2020-06-03 00:00:00,ETC/USD,6.985,7.006,6.86,6.942,2537721.67,367245.53
1591056000,2020-06-02 00:00:00,ETC/USD,7.209,7.319,6.712,6.985,3323271.76,471707.58
1590969600,2020-06-01 00:00:00,ETC/USD,6.949,7.3,6.88,7.209,3362872.25,477032.88
1590883200,2020-05-31 00:00:00,ETC/USD,7.485,7.495,6.601,6.949,2912400.77,411057.9
1590796800,2020-05-30 00:00:00,ETC/USD,7.202,7.568,7.13,7.485,2207814.15,298699.74
1590710400,2020-05-29 00:00:00,ETC/USD,6.856,7.303,6.855,7.202,4762817.33,668053.16
1590624000,2020-05-28 00:00:00,ETC/USD,6.768,6.884,6.68,6.856,1321351.84,194550.09
1590537600,2020-05-27 00:00:00,ETC/USD,6.71,6.829,6.656,6.768,2032613.01,302837.7
